id,company_id,company,role,category,description,requirements,location,deadline,salary,source,url,status,last_seen
54203520,MFZKRDhUY2ZodTd6ZmYxUVdaTkVXdz09,대영전자(주),대영전자(주) FA사업부 기구설계팀 설계담당자 직무로 함께해요,R&D,"설계엔지니어, 부품설계, 기구설계, 자동화설계",경력무관 / 대졸↑ / 정규직,경남창원시 성산구,07/17(금),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54203520&location=ts,마감,2026-06-17
54189773,MWZwRjNRdmpaMmtRQXVvWDRmZi9zQT09,휴비스(주),생산직 정규직(용접로봇조작원)-주간근무,생산/제조,"단순생산직, 자동차부품",경력무관 / 학력무관 / 정규직,경북김천시,07/02(목),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189773&location=ts,마감,2026-06-18
54090270,QmZkeUFWZzFhVXRyRXVOakxYeFpQUT09,(주)세스텍,[세스텍] 디스플레이 Robot 제작/정비 신입·경력 모집,R&D,"로봇엔지니어, 기계조작원, 기술엔지니어, 설비점검",경력무관 / 고졸↑ / 정규직,충남아산시,07/05(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54090270&location=ts,마감,2026-06-18
53826823,c2toYVRmMzdTQU44TWRMZ0F5cmx6UT09,태창공업(주),생산기술(CAD/전기제어/ROBOT OP)팀에 함께할 신입사원 모집,R&D|생산/제조,"생산기술, 기계설계, 기술엔지니어, 설비OP",경력무관 / 초대졸↑ / 정규직,대구달성군,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53826823&location=ts,마감,2026-06-18
53947014,MG9TdUV5L0g4NDZ4eVRRM0szcG10Zz09,(주)TPC로보틱스,[인천 서구] 생산조립 담당자 정규직 채용 (직교좌표 로봇),R&D|생산/제조,"생산, 기술엔지니어, 조립, 제조",경력무관 / 고졸↑ / 정규직,인천서구,06/30(화),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947014&location=ts,마감,2026-06-18
54107597,WnpGWmM5aTNTcXBYM0c3ekRTeGs4QT09,(주)정산테크,자동차부품 로봇 오퍼레이터 채용 (경력우대),생산/제조,"생산, 도장/도금/도색, 자동화라인, 2교대",경력무관 / 학력무관 / 정규직,울산울주군,07/08(수),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54107597&location=ts,마감,2026-06-18
53696643,alkwUE4xQ0pVaVlmTzlOUGQwSjlDQT09,(주)엔도로보틱스,[생산팀] 의료로봇 제조 인턴 모집,생산/제조,"생산, 생산기술, 생산관리, 의료기기",경력무관 / 고졸↑ / 정규직·계약직,서울종로구,06/21(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53696643&location=ts,마감,2026-06-18
53915596,dmd4RzFlYzJLNnM5aTZOalVjODNvZz09,평화기공㈜,로보트용접 생산직사원 모집,생산/제조,"Co2용접, 자동차부품",경력무관 / 고졸↑ / 정규직,대구달성군,07/17(금),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53915596&location=ts,마감,2026-06-18
53986634,RklPQXhyRzFFQkI0SUdOK1kxaUFYQT09,(주)한국원자력로봇,(주)한국원자력로봇 기계설계 정규직 채용,R&D,"기계설계, 기구설계",경력무관 / 학력무관 / 정규직,서울중구,06/25(목),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53986634&location=ts,마감,2026-06-18
54088136,YkRjZzU4bWpKZWJncnpkQXZUWFNOZz09,(주)시스윈로보틱스,[삼성디스플레이 아산] 물류 로봇 운영 관리 4조3교대,기획/PM|필드엔지니어,"물류관리, 물류자동화, 기계기사, 현장기사",신입·경력 / 고졸↑ / 계약직,충남아산시,07/05(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54088136&location=ts,마감,2026-06-18
