id,name,revenue,employees,founded,biz_type,industry,homepage,last_updated,url
Uk5NNldIUitEUWRwbWw2alUwUm5iZz09,(주)하이브,1조 8천억원,798명,2005.02.04(22년차),,연예·엔터테인먼트,https://hybecorp.com/kor/main,2026-06-17,https://www.jobkorea.co.kr/company/43704918
bmFNUDcwRE1EenRnMFFKQU94N3htZz09,(주)세인티,,24명,2019년 6월 20일,24                                        명 출처: 국민연금 사원수,컴퓨터시스템 통합 자문 및 구축 서비스업,https://sainti.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=bmFNUDcwRE1EenRnMFFKQU94N3htZz09
NjBveXRXdHlxeDRGbExRZUM1blpVdz09,주식회사 닷코벤처스,,,,,연구소·컨설팅·조사,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NjBveXRXdHlxeDRGbExRZUM1blpVdz09
ZzNYVG0wSnh3MHEvcC90K2JVNjhGZz09,(주)지에스티,,19명,2008년 1월 29일,중소기업,응용 소프트웨어 개발 및 공급업,http://www.gsti.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZzNYVG0wSnh3MHEvcC90K2JVNjhGZz09
MFpDTFB2dm45ZVFhdFdteVZNQ3Y0Zz09,(주)아하랩스,,,,중소기업,,http://ahha.ai,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=MFpDTFB2dm45ZVFhdFdteVZNQ3Y0Zz09
TWV0MmJoM0hKNk9jcTNDc2crQWIvdz09,(주)티에스엠,,11명,2003년 4월 25일,중소기업,음ㆍ식료품 및 담배 가공기계 제조업,http://tsm1991.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=TWV0MmJoM0hKNk9jcTNDc2crQWIvdz09
RTI2YXl0bkxjT3JTb1Y4UU00bU1lQT09,스텝인더스트리(주),,9명,2023년 7월 19일,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업",https://stepi.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RTI2YXl0bkxjT3JTb1Y4UU00bU1lQT09
bDlxOGtlRHZ0RFNTRSs3VkMza1hlZz09,(주)모터라이즈,,4명,2017년 12월 27일,4                                        명 출처: 국민연금 사원수 10억 5,그 외 기타 전자부품 제조업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=bDlxOGtlRHZ0RFNTRSs3VkMza1hlZz09
QjAvWTRjdksycXVIUjFoWFB6cmxYQT09,(주)제이오텍,,,1989년 10월 5일,,"물질 검사, 측정 및 분석기구 제조업",http://www.jeiotech.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=QjAvWTRjdksycXVIUjFoWFB6cmxYQT09
aS9xSWg1L21TYTRuZGxNZEN2MTRXZz09,(주)넥센서,,60명,2018년 6월 5일,중소기업,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",http://www.nexensor.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=aS9xSWg1L21TYTRuZGxNZEN2MTRXZz09
WTdDVS93RU1Wb1N2V3VpQkJxWUNjZz09,농심엔지니어링(주),"1,570억 4천만원(2025.12.31)",170명(2025.12.31),1997.07.24(30년차),,기타 엔지니어링 서비스업,http://www.nongshimeng.com,2026-06-17,https://www.jobkorea.co.kr/company/1859722
RmZQV2wxcUJlcEZhMzlQOVRkdUJpdz09,(주)태창이엔지,,35명,2005년 6월 13일,스타트업,선박 구성 부분품 제조업,http://tceng.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RmZQV2wxcUJlcEZhMzlQOVRkdUJpdz09
N3hpcldDYnl5TklyeVN1Vit2QmxiQT09,몽구스에이아이(주),,14명,2020년 3월 5일,14                                        명 출처: 국민연금 사원수 4억 29만원 매출액,기타 엔지니어링 서비스업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=N3hpcldDYnl5TklyeVN1Vit2QmxiQT09
aTFTbjVaT3hRUUZFWWIreG4zSUFsQT09,(주)엔에스티정보통신,,38명,1999년 5월 25일,중소기업,유선 통신장비 제조업,http://www.nstco.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=aTFTbjVaT3hRUUZFWWIreG4zSUFsQT09
bTRWSlhmSVV6QXc3dHROSDdLbDRKQT09,(주)랩오투원,,45명,2015년 1월 7일,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,http://home.vessellink.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=bTRWSlhmSVV6QXc3dHROSDdLbDRKQT09
THltTUxtVXpTSDg5aExkV3pGR2UzZz09,시너스텍(주),,369명,2018년 5월 2일,중견기업,그 외 기타 특수목적용 기계 제조업,http://www.synustech.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=THltTUxtVXpTSDg5aExkV3pGR2UzZz09
d0wrWTNDME52c1ptc3M1LzR5YVpGZz09,아이티에스시스템(주),,25명,2020년 1월 8일,25                                        명 출처: 국민연금 사원수 67억 1,컴퓨터시스템 통합 자문 및 구축 서비스업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=d0wrWTNDME52c1ptc3M1LzR5YVpGZz09
MzlXc3VZRlpXcVpTMTRaWkVzQ1l6UT09,(주)뉴로코어,,37명,2018년 6월 21일,37                                        명 출처: 국민연금 사원수 41억 5,시스템 소프트웨어 개발 및 공급업,https://neurocore.ai/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=MzlXc3VZRlpXcVpTMTRaWkVzQ1l6UT09
OTRIOEpJNmNFd1NBSWxmZ21WbkpXdz09,(주)에스브이티,,4명,2023년 7월 26일,중소기업,응용 소프트웨어 개발 및 공급업,https://www.thesvt.net/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=OTRIOEpJNmNFd1NBSWxmZ21WbkpXdz09
Y05veFhFdXhKdThqUERtTXNUTmFDdz09,삼보에이앤티(주),,200명,1999년 10월 1일,,그 외 자동차용 신품 부품 제조업,http://www.samboant.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=Y05veFhFdXhKdThqUERtTXNUTmFDdz09
RkJjcG5OWWFXMXo4Tzc5bFJLNW1JQT09,(주)아이브이에이치,,19명,2013년 1월 25일,19                                        명 출처: 국민연금 사원수 23억 8,기타 공학 연구개발업,http://www.ivh.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RkJjcG5OWWFXMXo4Tzc5bFJLNW1JQT09
